price,crime_rate,resid_area,air_qual,room_num,age,dist1,dist2,dist3,dist4,airport
24,0.00632,32.31,0.538,6.575,65.2,4.35,3.81,4.18,4.01,1
21.6,0.02731,37.07,0.469,6.421,78.9,4.99,4.7,5.12,5.06,0
34.7,0.02729,37.07,0.469,7.185,61.1,5.03,4.86,5.01,4.97,0
33.4,0.03237,32.18,0.458,6.998,45.8,6.21,5.93,6.16,5.96,1
36.2,0.06905,32.18,0.458,7.147,54.2,6.16,5.86,6.37,5.86,0
28.7,0.02985,32.18,0.458,6.43,58.7,6.22,5.8,6.23,5.99,1
22.9,0.08829,37.87,0.524,6.012,66.6,5.87,5.47,5.7,5.2,1
22.1,0.14455,37.87,0.524,6.172,96.1,6.04,5.85,6.25,5.66,0
16.5,0.21124,37.87,0.524,5.631,100,6.18,5.85,6.3,6,1
18.9,0.17004,37.87,0.524,6.004,85.9,6.67,6.55,6.85,6.29,1
15,0.22489,37.87,0.524,6.377,94.3,6.65,6.31,6.55,5.88,0
18.9,0.11747,37.87,0.524,6.009,82.9,6.27,5.93,6.51,6.19,0
21.7,0.09378,37.87,0.524,5.889,39,5.76,5.14,5.58,5.33,1
20.4,0.62976,38.14,0.538,5.949,61.8,4.72,4.59,4.93,4.59,1
18.2,0.63796,38.14,0.538,6.096,84.5,4.6,4.2,4.48,4.58,0
19.9,0.62739,38.14,0.538,5.834,56.5,4.6,4.35,4.72,4.32,1
23.1,1.05393,38.14,0.538,5.935,29.3,4.66,4.39,4.52,4.43,0
17.5,0.7842,38.14,0.538,5.99,81.7,4.56,4.15,4.36,3.97,0
20.2,0.80271,38.14,0.538,5.456,36.6,3.8,3.52,3.86,4,1
18.2,0.7258,38.14,0.538,5.727,69.5,3.98,3.65,4,3.57,0
13.6,1.25179,38.14,0.538,5.57,98.1,3.93,3.59,4.09,3.58,1
19.6,0.85204,38.14,0.538,5.965,89.2,4.11,3.72,4.34,3.88,1
15.2,1.23247,38.14,0.538,6.142,91.7,4.18,3.98,4.31,3.45,1
14.5,0.98843,38.14,0.538,5.813,100,4.35,3.98,4.13,3.92,1
15.6,0.75026,38.14,0.538,5.924,94.1,4.69,4.07,4.72,4.12,1
13.9,0.84054,38.14,0.538,5.599,85.7,4.69,4.33,4.72,4.08,1
16.6,0.67191,38.14,0.538,5.813,90.3,4.94,4.59,4.71,4.49,0
14.8,0.95577,38.14,0.538,6.047,88.8,4.5,4.4,4.6,4.31,1
18.4,0.77299,38.14,0.538,6.495,94.4,4.57,4.35,4.69,4.21,1
21,1.00245,38.14,0.538,6.674,87.3,4.53,3.94,4.36,4.13,0
12.7,1.13081,38.14,0.538,5.713,94.1,4.52,4.18,4.37,3.86,0
14.5,1.35472,38.14,0.538,6.072,100,4.39,4.06,4.48,3.77,1
13.2,1.38799,38.14,0.538,5.95,82,4.01,3.86,4.31,3.79,0
13.1,1.15172,38.14,0.538,5.701,95,3.8,3.67,3.96,3.72,1
13.5,1.61282,38.14,0.538,6.096,96.9,4.07,3.66,3.87,3.44,1
18.9,0.06417,35.96,0.499,5.933,68.2,3.69,3.27,3.54,2.94,1
20,0.09744,35.96,0.499,5.841,61.4,3.39,3.28,3.62,3.22,0
21,0.08014,35.96,0.499,5.85,41.5,3.98,3.75,4.12,3.89,1
24.2,0.17505,35.96,0.499,5.966,30.2,4.15,3.66,4.04,3.54,1
30.8,0.02763,32.95,0.428,6.595,21.8,5.65,5.35,5.55,5.05,1
34.9,0.03359,32.95,0.428,7.024,15.8,5.63,5.31,5.53,5.14,1
26.6,0.12744,36.91,0.448,6.77,2.9,5.77,5.72,6,5.4,0
25.3,0.1415,36.91,0.448,6.169,6.6,5.93,5.46,5.88,5.62,0
24.7,0.15936,36.91,0.448,6.211,6.5,6.04,5.66,5.84,5.34,1
21.2,0.12269,36.91,0.448,6.069,40,5.81,5.51,5.9,5.67,0
19.3,0.17142,36.91,0.448,5.682,33.8,5.23,4.95,5.21,5.02,0
20,0.18836,36.91,0.448,5.786,33.3,5.25,5,5.4,4.75,1
16.6,0.22927,36.91,0.448,6.03,85.5,5.83,5.64,5.75,5.54,1
14.4,0.25387,36.91,0.448,5.399,95.3,5.98,5.68,5.96,5.86,0
19.4,0.21977,36.91,0.448,5.602,62,6.11,5.9,6.3,6.04,0
19.7,0.08873,35.64,0.439,5.963,45.7,7.08,6.55,7,6.63,1
20.5,0.04337,35.64,0.439,6.115,63,7.04,6.74,7.08,6.41,1
25,0.0536,35.64,0.439,6.511,21.1,7.02,6.76,7.12,6.37,0
23.4,0.04981,35.64,0.439,5.998,21.4,6.89,6.52,6.87,6.98,0
18.9,0.0136,34,0.41,5.888,47.6,7.4,7.27,7.6,7,1
35.4,0.01311,31.22,0.403,7.249,21.9,8.9,8.41,8.79,8.69,1
24.7,0.02055,30.74,0.41,6.383,35.7,9.32,8.93,9.43,9.07,1
31.6,0.01432,31.32,0.411,6.816,40.5,8.63,8.28,8.37,8.02,1
23.3,0.15445,35.13,0.453,6.145,29.2,7.98,7.77,8.07,7.44,0
19.6,0.10328,35.13,0.453,5.927,47.2,7.26,6.68,7.1,6.68,1
18.7,0.14932,35.13,0.453,5.741,66.2,7.33,7.16,7.53,6.88,0
16,0.17171,35.13,0.453,5.966,93.4,6.84,6.67,7.08,6.69,0
22.2,0.11027,35.13,0.453,6.456,67.8,7.55,7.08,7.43,6.84,1
25,0.1265,35.13,0.453,6.762,43.4,8.23,7.69,8.1,7.91,1
33,0.01951,31.38,0.4161,7.104,59.5,9.44,9.09,9.37,8.99,1
23.5,0.03584,33.37,0.398,6.29,17.8,6.62,6.43,6.85,6.55,0
19.4,0.04379,33.37,0.398,5.787,31.1,6.7,6.44,6.84,6.46,0
22,0.05789,36.07,0.409,5.878,21.4,6.64,6.4,6.52,6.43,1
17.4,0.13554,36.07,0.409,5.594,36.8,6.51,6.17,6.54,6.77,0
20.9,0.12816,36.07,0.409,5.885,33,6.55,6.39,6.6,6.46,0
24.2,0.08826,40.81,0.413,6.417,6.6,5.52,5.07,5.59,4.96,1
21.7,0.15876,40.81,0.413,5.961,17.5,5.44,5.2,5.42,5.09,0
22.8,0.09164,40.81,0.413,6.065,7.8,5.46,4.96,5.61,5.12,0
23.4,0.19539,40.81,0.413,6.245,6.2,5.36,5.23,5.5,5.06,1
24.1,0.07896,42.83,0.437,6.273,6,4.54,3.95,4.57,3.95,0
21.4,0.09512,42.83,0.437,6.286,45,4.83,4.5,4.83,3.86,0
20,0.10153,42.83,0.437,6.279,74.5,4.33,3.72,4.26,3.9,0
20.8,0.08707,42.83,0.437,6.14,45.8,4.32,4.06,4.26,3.72,1
21.2,0.05646,42.83,0.437,6.232,53.7,5.34,5,5.1,4.62,1
20.3,0.08387,42.83,0.437,5.874,36.6,4.53,4.23,4.82,4.43,0
28,0.04113,34.86,0.426,6.727,33.5,5.5,5.28,5.4,5.42,1
23.9,0.04462,34.86,0.426,6.619,70.4,5.71,5.11,5.71,5.08,1
24.8,0.03659,34.86,0.426,6.302,32.2,5.53,5.19,5.47,5.42,0
22.9,0.03551,34.86,0.426,6.167,46.7,5.52,5.18,5.67,5.23,1
23.9,0.05059,34.49,0.449,6.389,48,4.97,4.71,4.99,4.45,0
26.6,0.05735,34.49,0.449,6.63,56.1,4.75,4.15,4.49,4.37,0
22.5,0.05188,34.49,0.449,6.015,45.1,4.62,4.16,4.49,4.44,1
22.2,0.07151,34.49,0.449,6.121,56.8,3.93,3.74,3.84,3.48,1
23.6,0.0566,33.41,0.489,7.007,86.3,3.5,3.09,3.44,3.65,0
28.7,0.05302,33.41,0.489,7.079,63.1,3.66,3.38,3.73,2.89,1
22.6,0.04684,33.41,0.489,6.417,66.1,3.14,2.93,3.15,3.15,1
22,0.03932,33.41,0.489,6.405,73.9,3.16,2.95,3.41,2.85,0
22.9,0.04203,45.04,0.464,6.442,53.6,3.96,3.41,3.97,3.32,0
25,0.02875,45.04,0.464,6.211,28.9,3.92,3.55,3.81,3.39,0
20.6,0.04294,45.04,0.464,6.249,77.3,3.81,3.34,3.92,3.39,0
28.4,0.12204,32.89,0.445,6.625,57.8,3.57,3.23,3.76,3.42,0
21.4,0.11504,32.89,0.445,6.163,69.6,3.58,3.35,3.54,3.51,0
38.7,0.12083,32.89,0.445,8.069,76,3.7,3.32,3.57,3.39,1
43.8,0.08187,32.89,0.445,7.82,36.9,3.54,3.42,3.6,3.43,1
33.2,0.0686,32.89,0.445,7.416,62.5,3.83,3.36,3.67,3.13,0
27.5,0.14866,38.56,0.52,6.727,79.9,3.1,2.68,2.81,2.52,1
26.5,0.11432,38.56,0.52,6.781,71.3,3.15,2.74,3.12,2.42,1
18.6,0.22876,38.56,0.52,6.405,85.4,3.03,2.55,2.73,2.55,0
19.3,0.21161,38.56,0.52,6.137,87.4,2.97,2.42,2.88,2.58,1
20.1,0.1396,38.56,0.52,6.167,90,2.63,2.25,2.68,2.13,1
19.5,0.13262,38.56,0.52,5.851,96.7,2.19,1.95,2.13,2.15,1
19.5,0.1712,38.56,0.52,5.836,91.9,2.37,2.07,2.48,1.92,1
20.4,0.13117,38.56,0.52,6.127,85.2,2.35,1.95,2.17,2.02,1
19.8,0.12802,38.56,0.52,6.474,97.1,2.72,2.18,2.54,2.3,0
19.4,0.26363,38.56,0.52,6.229,91.2,2.57,2.28,2.88,2.45,1
21.7,0.10793,38.56,0.52,6.195,54.4,3.05,2.6,3.04,2.42,1
22.8,0.10084,40.01,0.547,6.715,81.6,2.81,2.63,3,2.26,1
18.8,0.12329,40.01,0.547,5.913,92.9,2.55,2.23,2.56,2.07,1
18.7,0.22212,40.01,0.547,6.092,95.4,2.59,2.25,2.55,2.8,1
18.5,0.14231,40.01,0.547,6.254,84.2,2.54,2.14,2.29,2.05,0
18.3,0.17134,40.01,0.547,5.928,88.2,2.56,2.41,2.72,2.16,0
21.2,0.13158,40.01,0.547,6.176,72.5,2.93,2.71,3,2.28,0
19.2,0.15098,40.01,0.547,6.021,82.6,2.77,2.49,2.92,2.81,0
20.4,0.13058,40.01,0.547,5.872,73.1,2.8,2.27,2.62,2.22,1
19.3,0.14476,40.01,0.547,5.731,65.2,2.96,2.52,2.92,2.63,1
22,0.06899,55.65,0.581,5.87,69.7,2.4,2.16,2.53,1.94,1
20.3,0.07165,55.65,0.581,6.004,84.1,2.44,1.96,2.37,2.02,1
20.5,0.09299,55.65,0.581,5.961,92.9,2.34,1.85,2.27,1.9,1
17.3,0.15038,55.65,0.581,5.856,97,2.22,1.82,2.07,1.67,1
18.8,0.09849,55.65,0.581,5.879,95.8,2.21,1.74,2.2,1.88,0
21.4,0.16902,55.65,0.581,5.986,88.4,2.13,1.85,2.29,1.69,1
15.7,0.38735,55.65,0.581,5.613,95.6,1.93,1.52,1.8,1.77,0
16.2,0.25915,51.89,0.624,5.693,96,2.09,1.73,1.84,1.49,1
18,0.32543,51.89,0.624,6.431,98.8,1.96,1.61,1.92,1.77,0
14.3,0.88125,51.89,0.624,5.637,94.7,2.3,1.88,2.1,1.65,1
19.2,0.34006,51.89,0.624,6.458,98.9,2.37,1.93,2.36,1.81,1
19.6,1.19294,51.89,0.624,6.326,97.7,2.54,2.03,2.42,2.09,1
23,0.59005,51.89,0.624,6.372,97.9,2.41,2.16,2.4,2.34,1
18.4,0.32982,51.89,0.624,5.822,95.4,2.73,2.42,2.53,2.21,1
15.6,0.97617,51.89,0.624,5.757,98.4,2.35,2.28,2.53,2.23,0
18.1,0.55778,51.89,0.624,6.335,98.2,2.22,2.07,2.32,1.83,1
17.4,0.32264,51.89,0.624,5.942,93.5,2.26,1.84,2.18,1.59,0
17.1,0.35233,51.89,0.624,6.454,98.4,2.15,1.53,2.17,1.55,1
13.3,0.2498,51.89,0.624,5.857,98.2,1.89,1.41,1.84,1.53,0
17.8,0.54452,51.89,0.624,6.151,97.9,1.91,1.59,1.68,1.49,1
14,0.2909,51.89,0.624,6.174,93.6,1.86,1.54,1.87,1.18,0
14.4,1.62864,51.89,0.624,5.019,100,1.63,1.32,1.71,1.1,1
13.4,3.32105,49.58,0.871,5.403,100,1.34,1.04,1.64,1.27,1
15.6,4.0974,49.58,0.871,5.468,100,1.64,1.2,1.58,1.23,1
11.8,2.77974,49.58,0.871,4.903,97.8,1.48,1.08,1.55,1.27,1
13.8,2.37934,49.58,0.871,6.13,100,1.69,1.26,1.72,1.01,1
15.6,2.15505,49.58,0.871,5.628,100,1.82,1.49,1.69,1.06,1
14.6,2.36862,49.58,0.871,4.926,95.7,1.77,1.36,1.66,1.05,0
17.8,2.33099,49.58,0.871,5.186,93.8,1.58,1.23,1.6,1.72,0
15.4,2.73397,49.58,0.871,5.597,94.9,1.76,1.22,1.59,1.52,0
21.5,1.6566,49.58,0.871,6.122,97.3,1.65,1.52,1.93,1.37,0
19.6,1.49632,49.58,0.871,5.404,100,1.86,1.46,1.77,1.27,0
15.3,1.12658,49.58,0.871,5.012,88,1.82,1.56,1.9,1.16,1
19.4,2.14918,49.58,0.871,5.709,98.5,1.78,1.36,1.9,1.45,0
17,1.41385,49.58,0.871,6.129,96,1.77,1.47,1.97,1.78,0
15.6,3.53501,49.58,0.871,6.152,82.6,1.88,1.45,1.92,1.74,0
13.1,2.44668,49.58,0.871,5.272,94,1.99,1.71,1.85,1.39,0
41.3,1.22358,49.58,0.605,6.943,97.4,1.99,1.76,1.92,1.84,1
24.3,1.34284,49.58,0.605,6.066,100,1.96,1.54,1.9,1.63,0
23.3,1.42502,49.58,0.871,6.51,100,1.84,1.69,1.98,1.56,1
27,1.27346,49.58,0.605,6.25,92.6,1.86,1.52,1.88,1.94,1
50,1.46336,49.58,0.605,7.489,90.8,2.17,1.89,2.13,1.69,1
50,1.83377,49.58,0.605,7.802,98.2,2.26,1.76,2.11,2.04,1
50,1.51902,49.58,0.605,8.375,93.9,2.26,1.94,2.4,2.05,1
22.7,2.24236,49.58,0.605,5.854,91.8,2.71,2.39,2.49,2.1,1
25,2.924,49.58,0.605,6.101,93,2.37,2.28,2.59,1.89,1
50,2.01019,49.58,0.605,7.929,96.2,2.11,1.91,2.31,1.86,1
23.8,1.80028,49.58,0.605,5.877,79.2,2.69,2.21,2.58,2.22,1
23.8,2.3004,49.58,0.605,6.319,96.1,2.29,2.04,2.24,1.83,0
22.3,2.44953,49.58,0.605,6.402,95.2,2.3,2.12,2.33,2.3,0
17.4,1.20742,49.58,0.605,5.875,94.6,2.7,2.42,2.72,1.86,0
19.1,2.3139,49.58,0.605,5.88,97.3,2.62,2.36,2.55,2.03,0
23.1,0.13914,34.05,0.51,5.572,88.5,2.7,2.54,2.73,2.42,0
23.6,0.09178,34.05,0.51,6.416,84.1,2.86,2.57,2.77,2.39,1
22.6,0.08447,34.05,0.51,5.859,68.7,2.84,2.7,3.03,2.24,1
29.4,0.06664,34.05,0.51,6.546,33.1,3.22,2.91,3.21,3.18,1
23.2,0.07022,34.05,0.51,6.02,47.2,3.75,3.41,3.78,3.28,1
24.6,0.05425,34.05,0.51,6.315,73.4,3.35,3.28,3.41,3.24,1
29.9,0.06642,34.05,0.51,6.86,74.4,3.19,2.75,3.21,2.5,0
37.2,0.0578,32.46,0.488,6.98,58.4,3.11,2.55,2.84,2.82,0
39.8,0.06588,32.46,0.488,7.765,83.3,2.98,2.66,2.96,2.36,1
36.2,0.06888,32.46,0.488,6.144,62.2,2.69,2.39,2.79,2.52,1
37.9,0.09103,32.46,0.488,7.155,92.2,2.72,2.65,2.92,2.5,1
32.5,0.10008,32.46,0.488,6.563,95.6,3.04,2.67,2.91,2.76,1
26.4,0.08308,32.46,0.488,5.604,89.8,3.06,2.84,3.15,2.91,1
29.6,0.06047,32.46,0.488,6.153,68.8,3.43,3.05,3.5,3.14,1
50,0.05602,32.46,0.488,7.831,53.6,3.45,3.19,3.51,2.65,1
32,0.07875,33.44,0.437,6.782,41.1,3.81,3.7,3.87,3.77,1
29.8,0.12579,33.44,0.437,6.556,29.1,4.62,4.28,4.68,4.69,1
34.9,0.0837,33.44,0.437,7.185,38.9,4.83,4.43,4.68,4.33,0
33,0.09068,33.44,0.437,6.951,21.5,6.54,6.36,6.71,6.31,0
30.5,0.06911,33.44,0.437,6.739,30.8,6.71,6.42,6.74,6.05,0
36.4,0.08664,33.44,0.437,7.178,26.3,6.76,6.34,6.6,6.21,1
31.1,0.02187,32.93,0.401,6.8,9.9,6.46,6.13,6.45,5.84,0
29.1,0.01439,32.93,0.401,6.604,18.8,6.51,6.03,6.46,5.88,0
50,0.01381,30.46,0.422,7.875,32,5.81,5.53,5.76,5.5,1
33.3,0.04011,31.52,0.404,7.287,34.1,7.58,7.2,7.51,6.95,1
30.3,0.04666,31.52,0.404,7.107,36.6,7.64,7.02,7.4,7.18,1
34.6,0.03768,31.52,0.404,7.274,38.3,7.53,7.22,7.46,7.03,0
34.9,0.0315,31.47,0.403,6.975,15.3,7.97,7.52,7.78,7.34,1
32.9,0.01778,31.47,0.403,7.135,13.9,7.79,7.63,7.97,7.22,0
24.1,0.03445,32.03,0.415,6.162,38.4,6.4,6.07,6.4,6.22,1
42.3,0.02177,32.03,0.415,7.61,15.7,6.35,6.09,6.53,6.1,0
48.5,0.0351,32.68,0.4161,7.853,33.2,5.37,5.03,5.3,4.77,0
50,0.02009,32.68,0.4161,8.034,31.9,5.41,4.8,5.28,4.99,1
22.6,0.13642,40.59,0.489,5.891,22.3,4.24,3.62,4.11,3.82,1
24.4,0.22969,40.59,0.489,6.326,52.5,4.63,4.24,4.47,4.09,1
22.5,0.25199,40.59,0.489,5.783,72.7,4.64,4.25,4.6,3.92,1
24.4,0.13587,40.59,0.489,6.064,59.1,4.3,3.99,4.55,4.12,1
20,0.43571,40.59,0.489,5.344,100,3.95,3.86,4.14,3.55,0
21.7,0.17446,40.59,0.489,5.96,92.1,3.91,3.63,3.96,4,1
19.3,0.37578,40.59,0.489,5.404,88.6,3.99,3.41,3.8,3.46,0
22.4,0.21719,40.59,0.489,5.807,53.8,3.66,3.58,3.8,3.57,1
28.1,0.14052,40.59,0.489,6.375,32.3,4.11,3.92,4.18,3.57,1
23.7,0.28955,40.59,0.489,5.412,9.8,3.68,3.48,3.67,3.53,1
25,0.19802,40.59,0.489,6.182,42.4,4.15,3.81,3.96,3.87,1
23.3,0.0456,43.89,0.55,5.888,56,3.44,2.97,3.43,2.61,1
28.7,0.07013,43.89,0.55,6.642,85.1,3.52,3.19,3.69,3.28,0
21.5,0.11069,43.89,0.55,5.951,93.8,2.92,2.88,3.08,2.68,1
23,0.11425,43.89,0.55,6.373,92.4,3.65,3.25,3.37,3.19,1
26.7,0.35809,36.2,0.507,6.951,88.5,3.03,2.72,3.03,2.66,0
21.7,0.40771,36.2,0.507,6.164,91.3,3.31,3.04,3.16,2.68,1
27.5,0.62356,36.2,0.507,6.879,77.7,3.41,3.21,3.38,3.09,1
30.1,0.6147,36.2,0.507,6.618,80.8,3.5,3.2,3.54,2.84,1
44.8,0.31533,36.2,0.504,8.266,78.3,2.96,2.73,3.13,2.76,1
50,0.52693,36.2,0.504,8.725,83,3.13,2.61,2.95,2.88,1
37.6,0.38214,36.2,0.504,8.04,86.5,3.49,2.96,3.31,3.1,1
31.6,0.41238,36.2,0.504,7.163,79.9,3.31,3.12,3.28,3.16,0
46.7,0.29819,36.2,0.504,7.686,17,3.55,3.3,3.61,3.05,1
31.5,0.44178,36.2,0.504,6.552,21.4,3.56,3.28,3.42,3.23,1
24.3,0.537,36.2,0.504,5.981,68.1,3.97,3.38,3.88,3.47,0
31.7,0.46296,36.2,0.504,7.412,76.9,3.88,3.34,3.87,3.6,1
41.7,0.57529,36.2,0.507,8.337,73.3,4.06,3.82,3.9,3.58,1
48.3,0.33147,36.2,0.507,8.247,70.4,3.82,3.49,3.74,3.55,1
29,0.44791,36.2,0.507,6.726,66.5,3.67,3.38,3.97,3.59,1
24,0.33045,36.2,0.507,6.086,61.5,3.91,3.39,3.81,3.49,1
25.1,0.52058,36.2,0.507,6.631,76.5,4.46,3.9,4.2,4.03,1
31.5,0.51183,36.2,0.507,7.358,71.6,4.24,3.82,4.33,4.2,1
23.7,0.08244,34.93,0.428,6.481,18.5,6.26,6.12,6.45,5.93,1
23.3,0.09252,34.93,0.428,6.606,42.2,6.25,6.11,6.41,5.99,0
27,0.11329,34.93,0.428,6.897,54.3,6.49,6.13,6.4,6.32,1
20.1,0.10612,34.93,0.428,6.095,65.1,6.43,6.08,6.63,6.2,0
22.2,0.1029,34.93,0.428,6.358,52.9,7.11,6.81,7.19,7.03,1
23.7,0.12757,34.93,0.428,6.393,7.8,7.06,6.97,7.13,6.99,1
17.6,0.20608,35.86,0.431,5.593,76.5,8.15,7.62,8.12,7.93,0
18.5,0.19133,35.86,0.431,5.605,70.2,8.28,7.83,8.28,7.43,1
24.3,0.33983,35.86,0.431,6.108,34.9,8.37,7.78,8.38,7.69,1
20.5,0.19657,35.86,0.431,6.226,79.2,8.17,7.99,8.3,7.76,0
24.5,0.16439,35.86,0.431,6.433,49.1,8.05,7.74,7.89,7.63,1
26.2,0.19073,35.86,0.431,6.718,17.5,8.08,7.6,8.08,7.54,1
